"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"99999994994","2001-01-01T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1638","","10","","","29.72","","1.0","0","-9.7","55","24","-5","310","9","0.00","","","310","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 2424 HR MAX TEMP TIME (LST):1446 24 HR MIN TEMP (F): -524 HR MIN TEMP TIME (LST):2319 AVERAGE STATION PRESSURE:29.72  PEAK WIND SPEED (MPH):  9 PEAK WIND DIR (DEG):310 PEAK WIND TIME (LST):1537  FASTEST 2MIN SPEED (MPH):  7FASTEST 2MIN DIR (DEG):310 FASTEST 2MIN TIME (LST):1538 AVERAGE WIND SPEED (MPH): 1.0 24 HR AVG TEMP (F):10 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2001-01-02T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1639","","3","","","29.73","","8.1","0","-16.6","62","15","-9","230","21","T","","","230","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD52224 HR PRECIPITATION (IN):  T   24 HR MAX TEMP (F): 1524 HR MAX TEMP TIME (LST):1507 24 HR MIN TEMP (F): -924 HR MIN TEMP TIME (LST):0535 AVERAGE STATION PRESSURE:29.73  PEAK WIND SPEED (MPH): 21 PEAK WIND DIR (DEG):230 PEAK WIND TIME (LST):2345  FASTEST 2MIN SPEED (MPH): 17FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):2355 AVERAGE WIND SPEED (MPH): 8.1 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00   T   .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00   T    T","","","","","","","","","","2005-10-07"
"99999994994","2001-01-03T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1640","","25","","","29.33","","9.7","0","5.6","40","35","14","250","20","T","","","230","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN):  T   24 HR MAX TEMP (F): 3524 HR MAX TEMP TIME (LST):1438 24 HR MIN TEMP (F): 1424 HR MIN TEMP TIME (LST):0020 AVERAGE STATION PRESSURE:29.33  PEAK WIND SPEED (MPH): 20 PEAK WIND DIR (DEG):250 PEAK WIND TIME (LST):1147  FASTEST 2MIN SPEED (MPH): 17FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):2355 AVERAGE WIND SPEED (MPH): 9.7 24 HR AVG TEMP (F):25 HOURLY INCREMENTAL PRECIPITATION VALUES (IN): T   .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2001-01-04T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1641","","28","","","29.08","","6.9","0","8.7","37","50","5","210","25","0.00s","","","200","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 5024 HR MAX TEMP TIME (LST):2350 24 HR MIN TEMP (F):  524 HR MIN TEMP TIME (LST):0518 AVERAGE STATION PRESSURE:29.08  PEAK WIND SPEED (MPH): 25 PEAK WIND DIR (DEG):210 PEAK WIND TIME (LST):1654  FASTEST 2MIN SPEED (MPH): 20FASTEST 2MIN DIR (DEG):200 FASTEST 2MIN TIME (LST):1704 AVERAGE WIND SPEED (MPH): 6.9 24 HR AVG TEMP (F):28 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2001-01-05T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1642","","32","","","28.99","","9.3","0","12.8","33","51","12","320","30","0.00s","","","360","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 5124 HR MAX TEMP TIME (LST):0023 24 HR MIN TEMP (F): 1224 HR MIN TEMP TIME (LST):2253 AVERAGE STATION PRESSURE:28.99  PEAK WIND SPEED (MPH): 30 PEAK WIND DIR (DEG):320 PEAK WIND TIME (LST):1120  FASTEST 2MIN SPEED (MPH): 22FASTEST 2MIN DIR (DEG):360 FASTEST 2MIN TIME (LST):1259 AVERAGE WIND SPEED (MPH): 9.3 24 HR AVG TEMP (F):32 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2001-01-06T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1643","","27","","","28.92","","6.9","0","7.9","38","42","11","230","17","0.00s","","","230","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 4224 HR MAX TEMP TIME (LST):1554 24 HR MIN TEMP (F): 1124 HR MIN TEMP TIME (LST):0809 AVERAGE STATION PRESSURE:28.92  PEAK WIND SPEED (MPH): 17 PEAK WIND DIR (DEG):230 PEAK WIND TIME (LST):1104  FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):1104 AVERAGE WIND SPEED (MPH): 6.9 24 HR AVG TEMP (F):27 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2001-01-07T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0735","1644","","25","","","29.18","","6.8","0","6.1","40","38","11","340","24","0.00s","","","350","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 3824 HR MAX TEMP TIME (LST):0001 24 HR MIN TEMP (F): 1124 HR MIN TEMP TIME (LST):2155 AVERAGE STATION PRESSURE:29.18  PEAK WIND SPEED (MPH): 24 PEAK WIND DIR (DEG):340 PEAK WIND TIME (LST):0811  FASTEST 2MIN SPEED (MPH): 18FASTEST 2MIN DIR (DEG):350 FASTEST 2MIN TIME (LST):0828 AVERAGE WIND SPEED (MPH): 6.8 24 HR AVG TEMP (F):25 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2001-01-08T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0734","1645","","14","","","29.39","","1.1","0","-4.8","51","24","4","030","13","T","","","020","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN):  T   24 HR MAX TEMP (F): 2424 HR MAX TEMP TIME (LST):1525 24 HR MIN TEMP (F):  424 HR MIN TEMP TIME (LST):2346 AVERAGE STATION PRESSURE:29.39  PEAK WIND SPEED (MPH): 13 PEAK WIND DIR (DEG):030 PEAK WIND TIME (LST):1439  FASTEST 2MIN SPEED (MPH):  8FASTEST 2MIN DIR (DEG):020 FASTEST 2MIN TIME (LST):1505 AVERAGE WIND SPEED (MPH): 1.1 24 HR AVG TEMP (F):14 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00   T    T    T    T   .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2001-01-09T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0734","1646","","11","","","29.48","","6.2","0","-7.8","54","24","-3","220","17","0.00s","","","230","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 2424 HR MAX TEMP TIME (LST):1501 24 HR MIN TEMP (F): -324 HR MIN TEMP TIME (LST):0748 AVERAGE STATION PRESSURE:29.48  PEAK WIND SPEED (MPH): 17 PEAK WIND DIR (DEG):220 PEAK WIND TIME (LST):1401  FASTEST 2MIN SPEED (MPH): 15FASTEST 2MIN DIR (DEG):230 FASTEST 2MIN TIME (LST):1329 AVERAGE WIND SPEED (MPH): 6.2 24 HR AVG TEMP (F):11 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
"99999994994","2001-01-10T23:59:00","","","","","SOD  ","6","","","","","","","","","","","","","","","","","0734","1647","","20","","","29.27","","4.6","0","1.3","45","37","2","210","20","0.00s","","","210","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD54524 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 3724 HR MAX TEMP TIME (LST):1559 24 HR MIN TEMP (F):  224 HR MIN TEMP TIME (LST):0756 AVERAGE STATION PRESSURE:29.27  PEAK WIND SPEED (MPH): 20 PEAK WIND DIR (DEG):210 PEAK WIND TIME (LST):1512  FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):210 FASTEST 2MIN TIME (LST):1513 AVERAGE WIND SPEED (MPH): 4.6 24 HR AVG TEMP (F):20 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00","","","","","","","","","","2005-10-07"
